Number,Full Name,DOB,State,Term of Office,Party,Previous Office,Vice President
"
      None (1)       Federalist (1)       Democratic-Republican (4)       Democratic (16)       Whig (4)       Republican (18)
","","","","","","",""
"№PortraitPresidentStateTerm of officePartyTerm
[n 1]Previous officeVice President","","","","","","",""
1,George Washington,"(1732-02-22)February 22, 1732 – December 14, 1799(1799-12-14)
(Aged 67)",Virginia,"April 30, 1789
[n 2]
–
March 4, 1797",Non-partisan,"Commander-in-Chief
of the
Continental Army
(1775–1783)",John Adams
2,John Adams,"October 30, 1735 – July 4, 1826
(aged 90)",Massachusetts,"March 4, 1797
–
March 4, 1801
[n 3]",Federalist,"1st
Vice President of the United States",Thomas Jefferson
3,Thomas Jefferson,"April 13, 1743 – July 4, 1826
(aged 83)",Virginia,"March 4, 1801
–
March 4, 1809","Democratic-
Republican","2nd
Vice President of the United States","Aaron Burr
March 4, 1801 – March 4, 1805"
4,James Madison,"March 16, 1751 – June 28, 1836
(aged 85)",Virginia,"March 4, 1809
–
March 4, 1817","Democratic-
Republican","5th
United States Secretary of State
(1801–1809)",""
5,James Monroe,"April 28, 1758 – July 4, 1831
(aged 73)",Virginia,"March 4, 1817
–
March 4, 1825","Democratic-
Republican","7th
United States Secretary of State
(1811–1817)",Daniel D. Tompkins
6,John Quincy Adams,"July 11, 1767 – February 23, 1848
(aged 80)",Massachusetts,"March 4, 1825
–
March 4, 1829
[n 3]","Democratic-
Republican","8th
United States Secretary of State
(1817–1825)","John C. Calhoun
March 4, 1825 – December 28, 1832
[n 6]"
7,Andrew Jackson,"March 15, 1767 – June 8, 1845
(aged 78)",Tennessee,"March 4, 1829
–
March 4, 1837",Democratic,"U.S. Senator (Class 2) from Tennessee
(1823–1825)",""
8,Martin Van Buren,"December 5, 1782 – July 24, 1862
(aged 79)",New York,"March 4, 1837
–
March 4, 1841
[n 3][n 7]",Democratic,"8th
Vice President of the United States",Richard Mentor Johnson
9,William Henry Harrison,"February 9, 1773 – April 4, 1841
(aged 68)",Ohio,"March 4, 1841
–
April 4, 1841
[n 4]",Whig,"United States Minister to Colombia
(1828–1829)",John Tyler
10,John Tyler,"March 29, 1790 – January 18, 1862
(aged 71)",Virginia,"April 4, 1841
–
March 4, 1845","Whig
April 4, 1841 – September 13, 1841","Vacant
[n 5]",""
11,James K. Polk,"November 2, 1795 – June 15, 1849
(aged 53)",Tennessee,"March 4, 1845
–
March 4, 1849",Democratic,"9th
Governor of Tennessee
(1839–1841)",George M. Dallas
12,Zachary Taylor,"November 24, 1784 – July 9, 1850
(aged 65)",Louisiana,"March 4, 1849
–
July 9, 1850
[n 10][n 4]",Whig,"Major General of the 1st Infantry Regiment
United States Army
(1846–1849)",Millard Fillmore
13,Millard Fillmore,"January 7, 1800 – March 8, 1874
(aged 74)",New York,"July 9, 1850
–
March 4, 1853
[n 7]",Whig,"Vacant
[n 5]",""
14,Franklin Pierce,"November 23, 1804 – October 8, 1869
(aged 64)",New Hampshire,"March 4, 1853
–
March 4, 1857",Democratic,"Brigadier General of the 9th Infantry
United States Army
(1847–1848)","William R. King
March 4, 1853 – April 18, 1853
[n 4][n 10]"
15,James Buchanan,"April 23, 1791 – June 1, 1868
(aged 77)",Pennsylvania,"March 4, 1857
–
March 4, 1861",Democratic,"United States Minister to the
Court of St James's
(1853–1856)",John C. Breckinridge
16,Abraham Lincoln,"February 12, 1809 – April 15, 1865
(aged 56)",Illinois,"March 4, 1861
–
April 15, 1865
[n 10][n 11]",Republican,"U.S. Representative for Illinois' 7th
(1847–1849)","Hannibal Hamlin
March 4, 1861 – March 4, 1865"
17,Andrew Johnson,"December 29, 1808 – July 31, 1875
(aged 66)",Tennessee,"April 15, 1865
–
March 4, 1869","Democratic
National Union
Not Affiliated
[n 12][n 13]","Vacant
[n 5]",""
18,Ulysses S. Grant,"April 27, 1822 – July 23, 1885
(aged 63)",Illinois,"March 4, 1869
–
March 4, 1877",Republican,"Commanding General of the U.S. Army
(1864–1869)","Schuyler Colfax
March 4, 1869 – March 4, 1873"
19,Rutherford B. Hayes,"October 4, 1822 – January 17, 1893
(aged 70)",Ohio,"March 4, 1877
–
March 4, 1881",Republican,"32nd
Governor of Ohio
(1868–1872, 1876–1877)",William A. Wheeler
